init_Strategy: 0, init_table: 0, init_desp: 0, inti_Stt: 0, init_COstModel: 0
Simulator Device: fifo part=4, smr part=5
totalreq:980000, readreq:0, wrtreq:865864, hit:481701, readhit:0, flush_ssd_blk:865864 flush_hdd_blk:0
totalreq:990000, readreq:0, wrtreq:874027, hit:486801, readhit:0, flush_ssd_blk:874027 flush_hdd_blk:0
totalreq:1000000, readreq:0, wrtreq:882961, hit:492166, readhit:0, flush_ssd_blk:882961 flush_hdd_blk:0
totalreq:1010000, readreq:0, wrtreq:891325, hit:497594, readhit:0, flush_ssd_blk:891325 flush_hdd_blk:0
totalreq:1020000, readreq:0, wrtreq:898943, hit:501665, readhit:0, flush_ssd_blk:898943 flush_hdd_blk:0
totalreq:1030000, readreq:0, wrtreq:907560, hit:505679, readhit:0, flush_ssd_blk:907560 flush_hdd_blk:0
totalreq:1040000, readreq:0, wrtreq:915441, hit:509453, readhit:0, flush_ssd_blk:915441 flush_hdd_blk:0
totalreq:1050000, readreq:0, wrtreq:923006, hit:511610, readhit:0, flush_ssd_blk:923006 flush_hdd_blk:0
totalreq:1060000, readreq:0, wrtreq:929623, hit:514271, readhit:0, flush_ssd_blk:929623 flush_hdd_blk:0
totalreq:1070000, readreq:0, wrtreq:936125, hit:517726, readhit:0, flush_ssd_blk:936125 flush_hdd_blk:0
totalreq:1080000, readreq:0, wrtreq:943551, hit:520987, readhit:0, flush_ssd_blk:943551 flush_hdd_blk:0
totalreq:1090000, readreq:0, wrtreq:951065, hit:525060, readhit:0, flush_ssd_blk:951065 flush_hdd_blk:0
totalreq:1100000, readreq:0, wrtreq:958812, hit:529321, readhit:0, flush_ssd_blk:958812 flush_hdd_blk:0
totalreq:1110000, readreq:0, wrtreq:966371, hit:533368, readhit:0, flush_ssd_blk:966371 flush_hdd_blk:0
totalreq:1120000, readreq:0, wrtreq:973254, hit:537495, readhit:0, flush_ssd_blk:973254 flush_hdd_blk:0
totalreq:1130000, readreq:0, wrtreq:979721, hit:541530, readhit:0, flush_ssd_blk:979721 flush_hdd_blk:0
totalreq:1140000, readreq:0, wrtreq:986646, hit:546229, readhit:0, flush_ssd_blk:986646 flush_hdd_blk:0
totalreq:1150000, readreq:0, wrtreq:994241, hit:550742, readhit:0, flush_ssd_blk:994241 flush_hdd_blk:0
totalreq:1160000, readreq:0, wrtreq:1002050, hit:556270, readhit:0, flush_ssd_blk:1002050 flush_hdd_blk:0
totalreq:1170000, readreq:0, wrtreq:1009957, hit:561297, readhit:0, flush_ssd_blk:1009957 flush_hdd_blk:0
totalreq:1180000, readreq:0, wrtreq:1017426, hit:565801, readhit:0, flush_ssd_blk:1017426 flush_hdd_blk:0
totalreq:1190000, readreq:0, wrtreq:1024799, hit:570369, readhit:0, flush_ssd_blk:1024799 flush_hdd_blk:0
totalreq:1200000, readreq:0, wrtreq:1032249, hit:574597, readhit:0, flush_ssd_blk:1032249 flush_hdd_blk:0
totalreq:1210000, readreq:0, wrtreq:1039519, hit:578259, readhit:0, flush_ssd_blk:1039519 flush_hdd_blk:0
totalreq:1220000, readreq:0, wrtreq:1046942, hit:581775, readhit:0, flush_ssd_blk:1046942 flush_hdd_blk:0
totalreq:1230000, readreq:0, wrtreq:1054959, hit:585484, readhit:0, flush_ssd_blk:1054959 flush_hdd_blk:0
totalreq:1240000, readreq:0, wrtreq:1063499, hit:589379, readhit:0, flush_ssd_blk:1063499 flush_hdd_blk:0
totalreq:1250000, readreq:0, wrtreq:1072396, hit:593845, readhit:0, flush_ssd_blk:1072396 flush_hdd_blk:0
totalreq:1260000, readreq:0, wrtreq:1080894, hit:597335, readhit:0, flush_ssd_blk:1080894 flush_hdd_blk:0
totalreq:1270000, readreq:0, wrtreq:1089392, hit:600831, readhit:0, flush_ssd_blk:1089392 flush_hdd_blk:0
totalreq:1280000, readreq:0, wrtreq:1098062, hit:605481, readhit:0, flush_ssd_blk:1098062 flush_hdd_blk:0
totalreq:1290000, readreq:0, wrtreq:1106846, hit:611052, readhit:0, flush_ssd_blk:1106846 flush_hdd_blk:0
totalreq:1300000, readreq:0, wrtreq:1115739, hit:616167, readhit:0, flush_ssd_blk:1115739 flush_hdd_blk:0
totalreq:1310000, readreq:0, wrtreq:1124705, hit:621046, readhit:0, flush_ssd_blk:1124705 flush_hdd_blk:0
totalreq:1320000, readreq:0, wrtreq:1133428, hit:626560, readhit:0, flush_ssd_blk:1133428 flush_hdd_blk:0
totalreq:1330000, readreq:0, wrtreq:1142224, hit:632229, readhit:0, flush_ssd_blk:1142224 flush_hdd_blk:0
totalreq:1340000, readreq:0, wrtreq:1150945, hit:638325, readhit:0, flush_ssd_blk:1150945 flush_hdd_blk:0
totalreq:1350000, readreq:0, wrtreq:1158951, hit:642925, readhit:0, flush_ssd_blk:1158951 flush_hdd_blk:0
totalreq:1360000, readreq:0, wrtreq:1165484, hit:646670, readhit:0, flush_ssd_blk:1165484 flush_hdd_blk:0
totalreq:1370000, readreq:0, wrtreq:1172045, hit:649698, readhit:0, flush_ssd_blk:1172045 flush_hdd_blk:0
totalreq:1380000, readreq:0, wrtreq:1179041, hit:653433, readhit:0, flush_ssd_blk:1179041 flush_hdd_blk:0
totalreq:1390000, readreq:0, wrtreq:1185943, hit:656877, readhit:0, flush_ssd_blk:1185943 flush_hdd_blk:0
totalreq:1400000, readreq:0, wrtreq:1192706, hit:660114, readhit:0, flush_ssd_blk:1192706 flush_hdd_blk:0
totalreq:1410000, readreq:0, wrtreq:1199069, hit:663027, readhit:0, flush_ssd_blk:1199069 flush_hdd_blk:0
totalreq:1420000, readreq:0, wrtreq:1205650, hit:666289, readhit:0, flush_ssd_blk:1205650 flush_hdd_blk:0
totalreq:1430000, readreq:0, wrtreq:1212309, hit:669539, readhit:0, flush_ssd_blk:1212309 flush_hdd_blk:0
totalreq:1440000, readreq:0, wrtreq:1219255, hit:673232, readhit:0, flush_ssd_blk:1219255 flush_hdd_blk:0
totalreq:1450000, readreq:0, wrtreq:1225462, hit:676646, readhit:0, flush_ssd_blk:1225462 flush_hdd_blk:0
totalreq:1460000, readreq:0, wrtreq:1231514, hit:679700, readhit:0, flush_ssd_blk:1231514 flush_hdd_blk:0
totalreq:1470000, readreq:0, wrtreq:1237389, hit:682546, readhit:0, flush_ssd_blk:1237389 flush_hdd_blk:0
totalreq:1480000, readreq:0, wrtreq:1243068, hit:685066, readhit:0, flush_ssd_blk:1243068 flush_hdd_blk:0
totalreq:1490000, readreq:0, wrtreq:1249087, hit:687376, readhit:0, flush_ssd_blk:1249087 flush_hdd_blk:0
